#Note:; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
195 2.69315298e-2 3.90485426e-1
195.5 2.75967384e-2 3.95068346e-1
196 2.83011629e-2 3.99812748e-1
196.5 2.90480609e-2 4.04728511e-1
197 2.98410368e-2 4.09826336e-1
197.5 3.06840865e-2 4.15117828e-1
198 3.15816495e-2 4.20615596e-1
198.5 3.25386698e-2 4.26333361e-1
199 3.35606658e-2 4.32286083e-1
199.5 3.46538124e-2 4.38490097e-1
200 3.58250369e-2 4.44963281e-1
200.5 3.70821317e-2 4.51725232e-1
201 3.84338866e-2 4.58797484e-1
201.5 3.98902468e-2 4.66203741e-1
202 4.14624983e-2 4.73970162e-1
202.5 4.31634917e-2 4.82125678e-1
203 4.50079083e-2 4.90702363e-1
203.5 4.70125817e-2 4.99735868e-1
204 4.91968866e-2 5.09265923e-1
204.5 5.15832117e-2 5.19336926e-1
205 5.41975382e-2 5.29998634e-1
205.5 5.70701510e-2 5.41306979e-1
206 6.02365197e-2 5.53325027e-1
206.5 6.37383947e-2 5.66124126e-1
207 6.76251831e-2 5.79785260e-1
207.5 7.19556852e-2 5.94400682e-1
208 7.68003058e-2 6.10075857e-1
208.5 8.22438909e-2 6.26931810e-1
209 8.83893991e-2 6.45107954e-1
209.5 9.53626963e-2 6.64765502e-1
210 1.03318880e-1 6.86091598e-1
210.5 1.12450706e-1 7.09304302e-1
211 1.22999941e-1 7.34658591e-1
211.5 1.35272839e-1 7.62453507e-1
212 1.49661495e-1 7.93040559e-1
212.5 1.66673710e-1 8.26833281e-1
213 1.86975299e-1 8.64317478e-1
213.5 2.11450921e-1 9.06060837e-1
214 2.41292736e-1 9.52718714e-1
214.5 2.78131402e-1 1.00502907e+0
215 3.24231942e-1 1.06378129e+0
215.5 3.82788882e-1 1.12972616e+0
216 4.58370652e-1 1.20335714e+0
216.5 5.57575844e-1 1.28441262e+0
217 6.89942229e-1 1.37077962e+0
217.5 8.68976770e-1 1.45613833e+0
218 1.11247327e+0 1.52511677e+0
218.5 1.43903759e+0 1.54435564e+0
219 1.85241659e+0 1.45074414e+0
219.5 2.30117405e+0 1.15410517e+0
220 2.63283789e+0 6.02776421e-1
220.5 2.65828436e+0 -9.02299392e-2
221 2.35814621e+0 -6.75641862e-1
221.5 1.90951545e+0 -1.00855053e+0
222 1.48118426e+0 -1.12325115e+0
222.5 1.13860421e+0 -1.11185581e+0
223 8.82777093e-1 -1.04358170e+0
223.5 6.95307954e-1 -9.55937531e-1
224 5.57453809e-1 -8.66363311e-1
224.5 4.54768441e-1 -7.82065621e-1
225 3.77024756e-1 -7.05486285e-1
225.5 3.17162441e-1 -6.36974486e-1
226 2.70313087e-1 -5.76027994e-1
226.5 2.33088527e-1 -5.21853809e-1
227 2.03098258e-1 -4.73613144e-1
227.5 1.78629634e-1 -4.30521526e-1
228 1.58436418e-1 -3.91883245e-1
228.5 1.41597946e-1 -3.57096882e-1
229 1.27424234e-1 -3.25648909e-1
229.5 1.15391163e-1 -2.97103182e-1
230 1.05095571e-1 -2.71089784e-1
230.5 9.62236957e-2 -2.47294673e-1
231 8.85286917e-2 -2.25450614e-1
231.5 8.18143959e-2 -2.05329489e-1
232 7.59234615e-2 -1.86735863e-1
232.5 7.07285779e-2 -1.69501653e-1
233 6.61259032e-2 -1.53481733e-1
233.5 6.20300996e-2 -1.38550293e-1
234 5.83705422e-2 -1.24597847e-1
234.5 5.50883985e-2 -1.11528747e-1
235 5.21343575e-2 -9.92591245e-2
235.5 4.94668503e-2 -8.77151741e-2
236 4.70506450e-2 -7.68317235e-2
236.5 4.48557277e-2 -6.65510316e-2
237 4.28564078e-2 -5.68217784e-2
237.5 4.10305948e-2 -4.75982110e-2
238 3.93592130e-2 -3.88394212e-2
238.5 3.78257232e-2 -3.05087293e-2
239 3.64157305e-2 -2.25731591e-2
239.5 3.51166602e-2 -1.50029877e-2
240 3.39174904e-2 -7.77135837e-3
240.5 3.28085279e-2 -8.53947312e-4
241 3.17812217e-2 5.77132547e-3
241.5 3.08280055e-2 1.21245465e-2
242 2.99421658e-2 1.82240267e-2
242.5 2.91177292e-2 2.40864922e-2
243 2.83493670e-2 2.97272503e-2
243.5 2.76323141e-2 3.51603360e-2
244 2.69622988e-2 4.03986405e-2
244.5 2.63354835e-2 4.54540248e-2
245 2.57484126e-2 5.03374198e-2
245.5 2.51979681e-2 5.50589153e-2
246 2.46813310e-2 5.96278391e-2
246.5 2.41959477e-2 6.40528269e-2
247 2.37395006e-2 6.83418854e-2
247.5 2.33098823e-2 7.25024481e-2
248 2.29051737e-2 7.65414256e-2
248.5 2.25236239e-2 8.04652506e-2
249 2.21636331e-2 8.42799183e-2
249.5 2.18237370e-2 8.79910232e-2
250 2.15025937e-2 9.16037914e-2
250.5 2.11989712e-2 9.51231108e-2
251 2.09117374e-2 9.85535580e-2
251.5 2.06398500e-2 1.01899422e-1
252 2.03823487e-2 1.05164728e-1
252.5 2.01383470e-2 1.08353255e-1
253 1.99070260e-2 1.11468557e-1
253.5 1.96876283e-2 1.14513977e-1
254 1.94794522e-2 1.17492664e-1
254.5 1.92818474e-2 1.20407586e-1
255 1.90942102e-2 1.23261545e-1
255.5 1.89159796e-2 1.26057185e-1
256 1.87466340e-2 1.28797005e-1
256.5 1.85856876e-2 1.31483369e-1
257 1.84326880e-2 1.34118515e-1
257.5 1.82872127e-2 1.36704563e-1
258 1.81488678e-2 1.39243522e-1
258.5 1.80172849e-2 1.41737297e-1
259 1.78921195e-2 1.44187700e-1
259.5 1.77730492e-2 1.46596449e-1
260 1.76597719e-2 1.48965177e-1
260.5 1.75520044e-2 1.51295441e-1
261 1.74494810e-2 1.53588719e-1
261.5 1.73519522e-2 1.55846422e-1
262 1.72591836e-2 1.58069891e-1
262.5 1.71709547e-2 1.60260410e-1
263 1.70870581e-2 1.62419198e-1
263.5 1.70072985e-2 1.64547425e-1
264 1.69314919e-2 1.66646205e-1
264.5 1.68594647e-2 1.68716603e-1
265 1.67910532e-2 1.70759639e-1
265.5 1.67261030e-2 1.72776288e-1
266 1.66644681e-2 1.74767484e-1
266.5 1.66060106e-2 1.76734121e-1
267 1.65506000e-2 1.78677055e-1
267.5 1.64981130e-2 1.80597110e-1
268 1.64484328e-2 1.82495074e-1
268.5 1.64014487e-2 1.84371702e-1
269 1.63570560e-2 1.86227723e-1
269.5 1.63151552e-2 1.88063833e-1
270 1.62756522e-2 1.89880704e-1
270.5 1.62384574e-2 1.91678982e-1
271 1.62034861e-2 1.93459287e-1
271.5 1.61706576e-2 1.95222216e-1
272 1.61398953e-2 1.96968346e-1
272.5 1.61111263e-2 1.98698229e-1
273 1.60842815e-2 2.00412400e-1
273.5 1.60592951e-2 2.02111374e-1
274 1.60361043e-2 2.03795647e-1
274.5 1.60146496e-2 2.05465700e-1
275 1.59948742e-2 2.07121994e-1
275.5 1.59767239e-2 2.08764976e-1
276 1.59601473e-2 2.10395078e-1
276.5 1.59450952e-2 2.12012718e-1
277 1.59315208e-2 2.13618297e-1
277.5 1.59193795e-2 2.15212208e-1
278 1.59086287e-2 2.16794827e-1
278.5 1.58992278e-2 2.18366520e-1
279 1.58911381e-2 2.19927640e-1
279.5 1.58843224e-2 2.21478531e-1
280 1.58787456e-2 2.23019525e-1
280.5 1.58743739e-2 2.24550945e-1
281 1.58711751e-2 2.26073102e-1
281.5 1.58691185e-2 2.27586301e-1
282 1.58681746e-2 2.29090834e-1
282.5 1.58683156e-2 2.30586989e-1
283 1.58695144e-2 2.32075043e-1
283.5 1.58717456e-2 2.33555265e-1
284 1.58749847e-2 2.35027918e-1
284.5 1.58792082e-2 2.36493256e-1
285 1.58843940e-2 2.37951529e-1
285.5 1.58905205e-2 2.39402976e-1
286 1.58975676e-2 2.40847834e-1
286.5 1.59055156e-2 2.42286330e-1
287 1.59143460e-2 2.43718689e-1
287.5 1.59240410e-2 2.45145127e-1
288 1.59345836e-2 2.46565857e-1
288.5 1.59459577e-2 2.47981085e-1
289 1.59581477e-2 2.49391012e-1
289.5 1.59711390e-2 2.50795835e-1
290 1.59849175e-2 2.52195748e-1
290.5 1.59994697e-2 2.53590936e-1
291 1.60147828e-2 2.54981585e-1
291.5 1.60308446e-2 2.56367873e-1
292 1.60476436e-2 2.57749975e-1
292.5 1.60651686e-2 2.59128064e-1
293 1.60834092e-2 2.60502306e-1
293.5 1.61023553e-2 2.61872867e-1
294 1.61219975e-2 2.63239907e-1
294.5 1.61423267e-2 2.64603585e-1
295 1.61633344e-2 2.65964054e-1
295.5 1.61850125e-2 2.67321467e-1
296 1.62073533e-2 2.68675972e-1
296.5 1.62303496e-2 2.70027715e-1
297 1.62539946e-2 2.71376839e-1
297.5 1.62782818e-2 2.72723486e-1
298 1.63032052e-2 2.74067793e-1
298.5 1.63287591e-2 2.75409896e-1
299 1.63549382e-2 2.76749930e-1
299.5 1.63817375e-2 2.78088024e-1
300 1.64091524e-2 2.79424310e-1
300.5 1.64371786e-2 2.80758913e-1
301 1.64658122e-2 2.82091960e-1
301.5 1.64950494e-2 2.83423574e-1
302 1.65248870e-2 2.84753877e-1
302.5 1.65553218e-2 2.86082989e-1
303 1.65863512e-2 2.87411028e-1
303.5 1.66179727e-2 2.88738112e-1
304 1.66501840e-2 2.90064356e-1
304.5 1.66829833e-2 2.91389874e-1
305 1.67163689e-2 2.92714779e-1
305.5 1.67503395e-2 2.94039182e-1
306 1.67848939e-2 2.95363193e-1
306.5 1.68200313e-2 2.96686921e-1
307 1.68557509e-2 2.98010475e-1
307.5 1.68920526e-2 2.99333961e-1
308 1.69289361e-2 3.00657485e-1
308.5 1.69664015e-2 3.01981152e-1
309 1.70044492e-2 3.03305066e-1
309.5 1.70430797e-2 3.04629330e-1
310 1.70822939e-2 3.05954046e-1
310.5 1.71220929e-2 3.07279317e-1
311 1.71624777e-2 3.08605243e-1
311.5 1.72034501e-2 3.09931925e-1
312 1.72450115e-2 3.11259462e-1
312.5 1.72871641e-2 3.12587954e-1
313 1.73299099e-2 3.13917499e-1
313.5 1.73732512e-2 3.15248195e-1
314 1.74171907e-2 3.16580140e-1
314.5 1.74617312e-2 3.17913433e-1
315 1.75068756e-2 3.19248168e-1
315.5 1.75526272e-2 3.20584445e-1
316 1.75989895e-2 3.21922359e-1
316.5 1.76459660e-2 3.23262005e-1
317 1.76935607e-2 3.24603482e-1
317.5 1.77417776e-2 3.25946884e-1
318 1.77906211e-2 3.27292308e-1
318.5 1.78400957e-2 3.28639849e-1
319 1.78902061e-2 3.29989603e-1
319.5 1.79409572e-2 3.31341666e-1
320 1.79923543e-2 3.32696134e-1
320.5 1.80444028e-2 3.34053104e-1
321 1.80971082e-2 3.35412670e-1
321.5 1.81504765e-2 3.36774930e-1
322 1.82045137e-2 3.38139981e-1
322.5 1.82592261e-2 3.39507918e-1
323 1.83146203e-2 3.40878839e-1
323.5 1.83707030e-2 3.42252841e-1
324 1.84274812e-2 3.43630022e-1
324.5 1.84849623e-2 3.45010481e-1
325 1.85431537e-2 3.46394315e-1
325.5 1.86020631e-2 3.47781624e-1
326 1.86616985e-2 3.49172507e-1
326.5 1.87220682e-2 3.50567065e-1
